Date, Open, High, Low, Close
11/29/22, 138.92, 139.35, 137.87, 138.71
11/28/22, 139.13, 139.43, 137.50, 138.93
11/25/22, 138.61, 139.59, 138.39, 139.19
11/24/22, 139.66, 139.66, 138.06, 138.62
11/23/22, 141.22, 141.61, 139.19, 139.59
11/22/22, 142.14, 142.22, 141.09, 141.22
11/21/22, 140.34, 142.25, 140.17, 142.14
11/18/22, 140.20, 140.49, 139.64, 140.39
11/17/22, 139.52, 140.75, 138.88, 140.20
11/16/22, 139.29, 140.29, 138.75, 139.54
11/15/22, 139.88, 140.60, 137.79, 139.31
11/14/22, 138.80, 140.79, 138.56, 139.88
11/11/22, 140.99, 142.48, 138.48, 138.80
11/10/22, 146.41, 146.59, 140.21, 140.97
11/09/22, 145.69, 146.79, 145.18, 146.41
11/08/22, 146.61, 146.93, 145.31, 145.69
11/07/22, 146.60, 147.56, 146.10, 146.61
11/04/22, 148.25, 148.41, 146.56, 146.62
11/03/22, 147.89, 148.44, 147.12, 148.28
11/02/22, 148.25, 148.37, 145.66, 147.93
11/01/22, 148.74, 148.82, 146.99, 148.24
10/31/22, 147.46, 148.86, 143.65, 148.74
10/28/22, 146.28, 147.86, 145.99, 147.48
10/27/22, 146.37, 146.94, 145.12, 146.32
10/26/22, 147.93, 148.41, 146.22, 146.39
10/25/22, 148.97, 149.10, 147.53, 147.93
10/24/22, 147.66, 149.68, 145.53, 149.01
10/21/22, 150.14, 151.94, 146.22, 147.68
10/20/22, 149.88, 150.28, 149.56, 150.15
10/19/22, 149.25, 149.91, 149.13, 149.90
10/18/22, 149.03, 149.32, 148.66, 149.23
10/17/22, 148.78, 149.09, 148.44, 149.04
10/14/22, 147.15, 148.88, 147.04, 148.75
10/13/22, 146.91, 147.68, 146.52, 147.22
10/12/22, 145.86, 146.97, 145.69, 146.89
10/11/22, 145.72, 145.90, 145.43, 145.86
10/10/22, 145.40, 145.84, 145.24, 145.72
10/07/22, 145.14, 145.44, 144.73, 145.32
10/06/22, 144.66, 145.14, 144.40, 145.14
10/05/22, 144.12, 144.84, 143.54, 144.69
10/04/22, 144.55, 144.94, 143.90, 144.14
10/03/22, 144.74, 145.20, 144.16, 144.56
09/30/22, 144.41, 144.81, 144.21, 144.72
09/29/22, 144.30, 144.79, 144.06, 144.42
09/28/22, 144.80, 144.87, 143.91, 144.12
09/27/22, 144.75, 144.91, 144.06, 144.81
09/26/22, 143.34, 144.79, 143.26, 144.74
09/23/22, 142.37, 143.46, 141.76, 143.34
09/22/22, 144.07, 145.89, 140.36, 142.37
09/21/22, 143.73, 144.69, 143.34, 144.08
09/20/22, 143.21, 143.92, 142.95, 143.72
09/19/22, 142.94, 143.64, 142.65, 143.20
09/16/22, 143.50, 143.69, 142.85, 142.93
09/15/22, 143.15, 143.81, 142.80, 143.50
09/14/22, 144.58, 144.96, 142.56, 143.16
09/13/22, 142.84, 144.68, 141.66, 144.56
09/12/22, 142.50, 143.49, 142.03, 142.84
09/09/22, 144.11, 144.12, 141.50, 142.58
09/08/22, 143.75, 144.53, 143.32, 144.11
09/07/22, 142.79, 144.99, 142.72, 143.75
09/06/22, 140.59, 143.07, 140.25, 142.79
09/05/22, 140.22, 140.66, 140.05, 140.59
09/02/22, 140.17, 140.80, 139.88, 140.20
09/01/22, 138.96, 140.23, 138.77, 140.20
08/31/22, 138.80, 139.00, 138.28, 138.95
